USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 166740  8568 ?        Ss   09:38   0:02 /sbin/init auto noprompt splash
root           2  0.0  0.0      0     0 ?        S    09:38   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   09:38   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   09:38   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   09:38   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   09:38   0:00 [netns]
root           8  0.0  0.0      0     0 ?        I<   09:38   0:02 [kworker/0:0H-kblockd]
root          10  0.0  0.0      0     0 ?        I<   09:38   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    09:38   0:00 [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    09:38   0:00 [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    09:38   0:00 [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    09:38   0:00 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    09:38   0:18 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    09:38   0:00 [migration/0]
root          17  0.0  0.0      0     0 ?        S    09:38   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    09:38   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    09:38   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    09:38   0:00 [idle_inject/1]
root          22  0.0  0.0      0     0 ?        S    09:38   0:00 [migration/1]
root          23  0.0  0.0      0     0 ?        S    09:38   0:02 [ksoftirqd/1]
root          25  0.0  0.0      0     0 ?        I<   09:38   0:00 [kworker/1:0H-events_highpri]
root          26  0.0  0.0      0     0 ?        S    09:38   0:00 [kdevtmpfs]
root          27  0.0  0.0      0     0 ?        I<   09:38   0:00 [inet_frag_wq]
root          28  0.0  0.0      0     0 ?        S    09:38   0:00 [kauditd]
root          30  0.0  0.0      0     0 ?        S    09:38   0:00 [khungtaskd]
root          32  0.0  0.0      0     0 ?        S    09:38   0:00 [oom_reaper]
root          34  0.0  0.0      0     0 ?        I<   09:38   0:00 [writeback]
root          35  0.0  0.0      0     0 ?        S    09:38   0:03 [kcompactd0]
root          36  0.0  0.0      0     0 ?        SN   09:38   0:00 [ksmd]
